company,country_iso,year,capital_expenditures_usd_million,operational_expenditures_usd_million,total_revenue_usd_million,oil_gas_&product_sales_usd_million,net_income_from_all_revenues_usd_million,total_assets_usd_million,current_assets_usd_million,total_liabilities_usd_million,total_transfers_to_government_usd_million,royalties_usd_million,income_tax_usd_million
PCJ,JAM,2017-01-01,,,,,,,,,,,
PDVSA,VEN,2011-01-01,17952.579680000006,98883.96708,125832.4202,125065.3953,57102.55753,182608.351,56822.55846,112805.3529,20729.48966,15572.70417,2011.983307
PDVSA,VEN,2012-01-01,25094.53757,101750.169,125085.4452,124769.5428,47297.69426,218969.0626,75069.1255,146302.8932,26470.28653,15408.34169,7297.227986
PDVSA,VEN,2013-01-01,23468.07135,91226,126110.3142,111323.4537,47907.31418,240751.519,70554.67795,152745.1767,27624.01688000001,16748.617580000002,7235.991421
PDVSA,VEN,2014-01-01,25051,93208,127096,101552,39209,217418,55208,127661,18861,11902,5106
PDVSA,VEN,2015-01-01,18106,62013,72169,55339,19345,198523,53935,107644,6294,5624,0
PDVSA,VEN,2016-01-01,11295,38803,48002,41977,10176,189663,54592,102563,5450,4151,817
PDVSA,VEN,2017-01-01,,,,,,,,,,,
Pemex,MEX,2011-01-01,13776.42459,71338.62046,143130.5931,124939.4184,71791.97267999999,159488.2207,26604.79381,151183.1172,70403.66488,,238.3105972
Pemex,MEX,2012-01-01,15136.30971,72181.53412000001,142461.9023,124510.512,70280.36823,153702.7529,24157.56153000001,174285.7559,68540.86001,,322.5645195
Pemex,MEX,2013-01-01,19344.43793,76003.65756,133657.6773,125106.8777,57654.019770000006,166643.4128,22653.26251,226753.1337,67718.1776,,590.3365111
Pemex,MEX,2014-01-01,17474.054819999998,75892.72557000001,122422.4403,118510.0565,46529.71469,160118.5635,21766.26581,217874.7334,57243.92418,,0
Pemex,MEX,2015-01-01,15996.32347,83337.16095,74537.21094,72780.82987,-8799.950007,112040.8962,16859.88794,196067.4984,23793.64305,,0
